# -*- coding: UTF-8 -*-
#exp: Lexical Decision Task
#dvn: key,rt
block_cnt,block_id,trial_cnt,trial_id,Frequency,Item,Category
0,0,150,150,NA,plarche,PSEUDO
0,0,151,151,NA,linal,PSEUDO
0,0,152,152,NA,atrime,PSEUDO
0,0,153,153,NA,pronstre,PSEUDO
0,0,154,154,NA,nante,PSEUDO
0,0,155,155,NA,détate,PSEUDO
0,0,156,156,NA,nalait,PSEUDO
0,0,157,157,NA,brimatre,PSEUDO
0,0,158,158,NA,arres,PSEUDO
0,0,159,159,NA,tentite,PSEUDO
0,0,160,160,NA,richant,PSEUDO
